@relation credits-clean-numeric-weka.filters.unsupervised.attribute.Remove-R1

@attribute checking_status numeric
@attribute credit_history numeric
@attribute purpose numeric
@attribute credit_amount numeric
@attribute saving_status numeric
@attribute personal_status numeric
@attribute age numeric
@attribute job numeric
@attribute class numeric

@data
1,1,6,1169,4,3,67,1,1
0,3,6,5951,2,0,22,1,0
3,1,2,2096,2,3,49,3,1
1,3,3,7882,2,3,45,1,1
1,2,4,4870,2,3,53,1,0
3,3,2,9055,4,3,35,3,1
3,3,3,2835,1,3,53,1,1
0,3,9,6948,2,3,35,0,1
3,3,6,3059,3,1,61,3,1
0,1,4,5234,2,2,28,0,0
0,3,4,1295,2,0,25,1,0
1,3,0,4308,2,0,24,1,0
0,3,6,1567,2,0,22,1,1
1,1,4,1199,2,3,60,3,0
1,3,4,1403,2,0,28,1,1
1,3,6,1282,0,0,32,3,0
3,1,6,2424,4,3,53,1,1
1,4,0,8072,4,3,25,1,1
0,3,9,12579,2,0,44,0,0
3,3,6,3430,1,3,31,1,1
3,1,4,2134,2,3,48,1,1
1,3,6,2647,1,3,44,1,1
1,1,4,2241,2,3,48,3,1
0,1,9,1804,0,3,44,1,1
3,1,3,2069,4,2,26,1,1
1,3,3,1374,2,3,36,3,1
3,4,6,426,2,2,39,3,1
2,0,6,409,3,0,42,1,1
0,3,6,2415,2,3,34,1,1
1,2,0,6836,2,3,63,1,0
0,3,0,1913,3,2,36,1,1
1,3,3,4020,2,3,27,1,1
0,3,4,5866,0,3,30,1,1
3,1,0,1264,4,3,57,3,1
2,3,3,1474,2,0,33,0,1
0,1,6,4746,2,3,25,3,0
3,1,2,6110,2,3,31,1,1
2,3,6,2100,2,3,37,1,0
2,3,1,1225,2,3,37,1,1
0,3,6,458,2,3,24,1,1
3,3,6,2333,1,3,30,0,1
0,3,6,1158,1,1,26,1,1
0,2,7,6204,2,3,44,3,1
1,1,9,6187,0,2,24,1,1
1,1,9,6143,2,0,58,3,0
3,1,4,1393,2,0,35,0,1
3,3,6,2299,1,3,39,1,1
1,3,9,1352,1,0,23,2,1
3,1,4,7228,2,3,39,3,1
3,3,6,2073,0,0,28,1,1
0,2,3,2333,4,3,29,3,1
0,2,9,5965,2,3,30,0,1
3,3,6,1262,2,3,25,1,1
3,3,9,3378,4,3,31,1,1
0,2,4,2225,2,3,57,1,0
3,0,4,783,4,3,26,3,1
0,3,6,6468,4,3,52,0,0
3,1,6,9566,2,0,31,1,1
2,3,4,1961,2,0,23,0,1
1,1,3,6229,2,0,23,3,0
0,3,0,1391,2,2,27,1,1
0,1,6,1537,4,3,50,1,1
0,4,0,1953,2,3,61,0,0
0,4,0,14421,2,3,25,1,0
3,3,6,3181,2,0,26,1,1
3,3,7,5190,4,3,48,1,1
3,3,6,2171,2,0,29,1,1
0,3,4,1007,3,2,22,1,1
3,3,2,1819,2,3,37,1,0
3,3,6,2394,4,0,25,1,1
3,3,9,8133,2,0,30,1,1
3,1,6,730,4,3,46,3,1
1,1,5,1164,2,3,51,0,1
0,1,0,5954,2,0,41,3,1
1,3,2,1977,4,3,40,0,0
1,1,9,1526,2,3,66,0,1
1,3,6,3965,2,3,34,1,0
0,2,6,4771,2,3,51,1,1
3,4,9,9436,4,3,39,3,1
0,3,3,3832,2,2,22,1,1
3,3,6,5943,4,0,44,1,0
3,3,6,1213,1,3,47,1,1
3,3,0,1568,0,0,24,3,1
1,3,5,1755,2,0,58,3,1
1,3,6,2315,2,3,52,3,1
3,1,0,1412,2,0,29,0,1
0,1,3,1295,2,0,27,1,1
0,3,2,12612,0,3,47,1,0
1,3,4,2249,0,3,30,0,1
1,4,7,1108,2,3,28,1,0
3,1,6,618,2,3,56,1,1
1,1,9,1409,2,3,54,1,1
3,1,6,797,4,0,33,3,0
2,1,3,3617,4,3,20,1,1
0,3,4,1318,3,3,54,1,1
0,4,0,15945,2,3,58,1,0
3,1,2,2012,4,0,61,1,1
0,3,0,2622,0,3,34,1,1
0,1,6,2337,2,3,36,1,1
0,2,9,7057,4,3,36,0,1
3,3,4,1469,0,2,41,3,1
0,3,6,2323,2,3,24,1,1
3,2,6,932,2,0,24,1,1
0,1,3,1919,2,3,35,1,1
3,3,9,2445,4,2,26,1,1
0,1,5,11938,2,3,39,0,0
3,0,4,6458,2,3,39,0,0
0,3,4,6078,2,3,32,1,1
1,3,3,7721,4,0,30,1,1
0,3,0,1410,1,2,35,1,1
0,2,0,1449,0,1,31,1,1
2,3,2,392,2,0,23,1,1
0,3,4,6260,2,3,28,3,1
3,1,4,7855,2,0,25,1,0
1,3,6,1680,1,2,35,1,1
3,1,6,3578,4,3,47,1,1
1,3,6,7174,4,0,30,0,0
1,1,3,2132,4,0,27,1,1
1,1,3,4281,1,0,23,1,0
0,1,4,2366,1,1,36,0,1
1,3,6,1835,2,0,25,1,0
3,1,9,3868,2,0,41,0,1
3,3,3,1768,2,3,24,3,1
2,1,4,781,2,3,63,1,1
0,3,3,1924,4,0,27,1,0
1,1,4,2121,2,3,30,1,1
1,3,6,701,2,2,40,3,1
0,3,7,639,2,3,30,1,0
0,1,9,1860,2,3,34,0,1
1,1,4,3499,2,0,29,1,0
0,3,4,8487,4,0,24,1,1
1,2,2,6887,2,3,29,1,0
3,3,3,2708,2,3,27,3,1
3,3,3,1984,2,3,47,1,1
3,3,6,10144,0,0,21,1,1
3,1,6,1240,4,0,38,1,1
3,2,9,8613,3,3,27,1,1
0,3,6,766,1,3,66,3,0
0,1,6,2728,4,3,35,1,1
2,3,6,1881,2,0,44,3,1
2,3,4,709,3,2,27,2,1
0,3,6,4795,2,0,30,0,1
1,3,6,3416,2,3,27,0,1
1,3,3,2462,2,3,22,1,0
3,1,3,2288,2,0,23,1,1
0,0,0,3566,0,3,30,1,1
1,1,4,860,2,0,39,1,1
3,1,4,682,0,0,51,1,1
1,1,3,5371,2,3,28,1,1
3,1,6,1582,3,3,46,1,1
3,3,6,1346,0,3,42,1,1
3,3,6,1924,2,3,38,1,1
2,3,6,5848,2,3,24,1,1
0,1,9,7758,3,0,29,1,1
0,2,0,6967,0,3,36,0,1
1,3,3,1282,2,0,20,1,0
1,1,7,1288,0,3,48,1,1
1,0,8,339,2,2,45,3,1
0,3,4,3512,0,3,38,1,1
3,1,6,1898,4,3,34,3,1
3,1,6,2872,0,3,36,1,1
3,1,4,1055,2,0,30,1,1
3,3,1,1262,1,3,36,1,1
0,3,4,7308,2,3,70,0,1
3,3,4,909,1,3,36,1,1
3,3,3,2978,1,3,32,1,1
1,3,3,1131,2,0,33,1,0
0,3,3,1577,3,0,20,1,1
3,3,3,3972,2,0,25,1,1
0,1,0,1935,2,1,31,1,0
1,4,4,950,2,3,33,1,0
3,3,3,763,2,0,26,1,1
0,2,3,2064,2,0,34,0,0
0,3,6,1414,2,3,33,1,1
1,2,2,3414,2,3,26,1,0
3,0,9,7485,4,0,53,0,0
1,3,3,2577,2,1,42,1,1
1,1,6,338,1,3,52,1,1
3,3,6,1963,2,3,31,0,1
1,1,4,571,2,3,65,1,1
3,2,0,9572,2,1,28,1,0
0,2,0,4455,2,1,30,0,0
1,0,4,1647,4,3,40,3,0
3,1,3,3777,3,3,50,1,1
0,1,4,884,2,3,36,1,0
3,1,6,1360,2,3,31,1,1
0,0,9,5129,2,0,74,0,0
0,1,4,1175,2,3,68,2,1
1,3,6,674,0,2,20,1,0
0,4,3,3244,2,0,33,1,1
3,3,0,4591,3,3,54,0,0
0,4,0,3844,0,3,34,3,0
0,3,0,3915,2,3,36,1,0
3,3,6,2108,2,2,29,1,1
0,3,6,3031,0,3,21,1,0
0,1,2,1501,2,0,34,0,0
3,1,6,1382,2,0,28,1,1
0,3,3,951,0,0,27,1,0
0,3,9,2760,4,3,36,1,1
0,2,3,4297,2,1,40,0,0
3,1,2,936,1,3,52,1,1
1,3,4,1168,2,2,27,3,1
3,2,0,5117,2,3,26,1,1
1,3,8,902,2,2,21,1,0
3,1,4,1495,2,3,38,3,1
1,1,9,10623,2,3,38,0,1
3,1,3,1935,2,3,43,1,1
0,1,1,1424,2,3,26,1,1
1,3,0,6568,2,2,21,3,1
3,3,9,1413,3,3,55,1,1
3,1,6,3074,4,3,33,1,1
3,3,6,3835,4,0,45,3,1
1,4,0,5293,2,3,50,1,0
2,2,0,1908,2,3,66,0,0
3,1,6,3342,4,3,51,1,1
0,1,8,932,4,0,39,3,1
1,4,0,3104,2,3,31,1,1
2,3,6,3913,2,3,23,1,1
1,3,3,3021,2,1,24,3,1
3,3,4,1364,2,0,64,1,1
0,3,6,625,2,2,26,3,1
1,3,2,1200,4,0,23,1,1
3,3,6,707,2,3,30,1,1
3,2,0,2978,4,3,32,1,1
3,3,9,4657,2,3,30,1,1
3,4,7,2613,2,3,27,1,1
0,3,6,10961,3,3,27,1,0
1,3,3,7865,2,3,53,0,0
3,3,6,1478,2,3,22,1,0
1,3,3,3149,2,3,22,1,1
2,3,6,4210,2,3,26,1,0
3,3,4,2507,1,3,51,3,1
3,3,6,2141,0,3,35,1,1
0,3,6,866,2,2,25,3,1
3,1,6,1544,2,3,42,3,1
1,3,6,1823,2,3,30,0,0
0,3,4,14555,4,3,23,2,0
0,3,0,2767,0,1,61,3,0
3,1,6,1291,2,0,35,1,1
1,3,6,2522,2,3,39,1,1
1,3,4,915,4,0,29,1,0
3,3,6,1595,2,3,51,1,1
1,4,9,4605,2,3,24,1,0
3,1,0,1185,2,0,27,1,1
3,0,8,3447,1,0,35,3,1
3,3,0,1258,2,3,25,1,1
3,1,6,717,2,3,52,1,1
3,4,4,1204,0,3,35,1,1
2,3,3,1925,2,3,26,1,1
3,3,6,433,2,0,22,1,0
1,1,4,666,3,0,39,3,1
2,3,3,2251,2,0,46,3,1
0,3,4,2150,2,0,24,1,0
3,2,3,4151,0,3,35,1,1
0,3,3,2030,4,3,24,1,1
0,2,6,7418,4,3,27,3,1
3,1,6,2684,2,3,35,3,1
1,0,6,2149,2,1,29,1,0
3,3,9,3812,0,0,23,1,1
3,1,6,1154,0,0,57,3,1
1,3,3,1657,2,3,27,1,1
1,3,6,1603,2,0,55,1,1
1,1,4,5302,2,3,36,0,1
3,1,2,2748,2,0,57,3,1
3,1,4,1231,2,3,32,3,1
0,3,6,802,2,3,37,1,0
3,1,0,6304,4,3,36,1,1
3,3,6,1533,2,0,38,1,1
