,Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,personal_status,age,job,class
0,0,1,1,6,144,4,3,49,1,1
1,1,0,3,6,767,2,0,4,1,0
2,2,3,1,2,390,2,3,31,3,1
3,3,1,3,3,844,2,3,27,1,1
4,4,1,2,4,731,2,3,35,1,0
5,5,3,3,2,864,4,3,17,3,1
6,6,3,3,3,532,1,3,35,1,1
7,7,0,3,9,809,2,3,17,0,1
8,8,3,3,6,560,3,1,43,3,1
9,9,0,1,4,744,2,2,10,0,0
10,10,0,3,4,192,2,0,7,1,0
11,11,1,3,0,698,2,0,6,1,0
12,12,0,3,6,289,2,0,4,1,1
13,13,1,1,4,151,2,3,42,3,0
14,14,1,3,4,234,2,0,10,1,1
15,15,1,3,6,185,0,0,14,3,0
16,16,3,1,6,464,4,3,35,1,1
17,17,1,4,0,848,4,3,7,1,1
18,18,0,3,9,898,2,0,26,0,0
19,19,3,3,6,606,1,3,13,1,1
20,20,3,1,4,401,2,3,30,1,1
21,21,1,3,6,497,1,3,26,1,1
22,22,1,1,4,422,2,3,30,3,1
23,23,0,1,9,324,0,3,26,1,1
24,24,3,1,3,387,4,2,8,1,1
25,25,1,3,3,224,2,3,18,3,1
26,26,3,4,6,13,2,2,21,3,1
27,27,2,0,6,12,3,0,24,1,1
28,28,0,3,6,463,2,3,16,1,1
29,29,1,2,0,804,2,3,45,1,0
30,30,0,3,0,351,3,2,18,1,1
31,31,1,3,3,680,2,3,9,1,1
32,32,0,3,4,765,0,3,12,1,1
33,33,3,1,0,180,4,3,39,3,1
34,34,2,3,3,255,2,0,15,0,1
35,35,0,1,6,723,2,3,7,3,0
36,36,3,1,2,773,2,3,13,1,1
37,37,2,3,6,391,2,3,19,1,0
38,38,2,3,1,165,2,3,19,1,1
39,39,0,3,6,18,2,3,6,1,1
40,40,3,3,6,447,1,3,12,0,1
41,41,0,3,6,140,1,1,8,1,1
42,42,0,2,7,778,2,3,26,3,1
43,43,1,1,9,776,0,2,6,1,1
44,44,1,1,9,774,2,0,40,3,0
45,45,3,1,4,232,2,0,17,0,1
46,46,3,3,6,434,1,3,21,1,1
47,47,1,3,9,215,1,0,5,2,1
48,48,3,1,4,817,2,3,21,3,1
49,49,3,3,6,388,0,0,10,1,1
50,50,0,2,3,447,4,3,11,3,1
51,51,0,2,9,769,2,3,12,0,1
52,52,3,3,6,179,2,3,7,1,1
53,53,3,3,9,596,4,3,13,1,1
54,54,0,2,4,419,2,3,39,1,0
55,55,3,0,4,67,4,3,8,3,1
56,56,0,3,6,793,4,3,34,0,0
57,57,3,1,6,871,2,0,13,1,1
58,58,2,3,4,367,2,0,5,0,1
59,59,1,1,3,779,2,0,5,3,0
60,60,0,3,0,231,2,2,9,1,1
61,61,0,1,6,277,4,3,32,1,1
62,62,0,4,0,366,2,3,43,0,0
63,63,0,4,0,908,2,3,7,1,0
64,64,3,3,6,578,2,0,8,1,1
65,65,3,3,7,743,4,3,30,1,1
66,66,3,3,6,410,2,0,11,1,1
67,67,0,3,4,109,3,2,4,1,1
68,68,3,3,2,327,2,3,19,1,0
69,69,3,3,6,459,4,0,7,1,1
70,70,3,3,9,850,2,0,12,1,1
71,71,3,1,6,54,4,3,28,3,1
72,72,1,1,5,142,2,3,33,0,1
73,73,0,1,0,768,2,0,23,3,1
74,74,1,3,2,371,4,3,22,0,0
75,75,1,1,9,272,2,3,48,0,1
76,76,1,3,6,672,2,3,16,1,0
77,77,0,2,6,724,2,3,33,1,1
78,78,3,4,9,870,4,3,21,3,1
79,79,0,3,3,655,2,2,4,1,1
80,80,3,3,6,766,4,0,26,1,0
81,81,3,3,6,159,1,3,29,1,1
82,82,3,3,0,290,0,0,6,3,1
83,83,1,3,5,317,2,0,40,3,1
84,84,1,3,6,438,2,3,34,3,1
85,85,3,1,0,237,2,0,11,0,1
86,86,0,1,3,192,2,0,9,1,1
87,87,0,3,2,899,0,3,29,1,0
88,88,1,3,4,425,0,3,12,0,1
89,89,1,4,7,130,2,3,10,1,0
90,90,3,1,6,27,2,3,38,1,1
91,91,1,1,9,235,2,3,36,1,1
92,92,3,1,6,69,4,0,15,3,0
93,93,2,1,3,634,4,3,2,1,1
94,94,0,3,4,202,3,3,36,1,1
95,95,0,4,0,916,2,3,40,1,0
96,96,3,1,2,377,4,0,43,1,1
97,97,0,3,0,493,0,3,16,1,1
98,98,0,1,6,448,2,3,18,1,1
99,99,0,2,9,812,4,3,18,0,1
100,100,3,3,4,252,0,2,23,3,1
101,101,0,3,6,441,2,3,6,1,1
102,102,3,2,6,94,2,0,6,1,1
103,103,0,1,3,352,2,3,17,1,1
104,104,3,3,9,468,4,2,8,1,1
105,105,0,1,5,893,2,3,21,0,0
106,106,3,0,4,792,2,3,21,0,0
107,107,0,3,4,772,2,3,14,1,1
108,108,1,3,3,837,4,0,12,1,1
109,109,0,3,0,236,1,2,17,1,1
110,110,0,2,0,248,0,1,13,1,1
111,111,2,3,2,11,2,0,5,1,1
112,112,0,3,4,780,2,3,10,3,1
113,113,3,1,4,842,2,0,7,1,0
114,114,1,3,6,309,1,2,17,1,1
115,115,3,1,6,627,4,3,29,1,1
116,116,1,3,6,816,4,0,12,0,0
117,117,1,1,3,399,4,0,9,1,1
118,118,1,1,3,696,1,0,5,1,0
119,119,0,1,4,454,1,1,18,0,1
120,120,1,3,6,331,2,0,7,1,0
121,121,3,1,9,661,2,0,23,0,1
122,122,3,3,3,319,2,3,6,3,1
123,123,2,1,4,66,2,3,45,1,1
124,124,0,3,3,354,4,0,9,1,0
125,125,1,1,4,396,2,3,12,1,1
126,126,1,3,6,47,2,2,22,3,1
127,127,0,3,7,31,2,3,12,1,0
128,128,0,1,9,337,2,3,16,0,1
129,129,1,1,4,614,2,0,11,1,0
130,130,0,3,4,857,4,0,6,1,1
131,131,1,2,2,808,2,3,11,1,0
132,132,3,3,3,507,2,3,9,3,1
133,133,3,3,3,373,2,3,29,1,1
134,134,3,3,6,877,0,0,3,1,1
135,135,3,1,6,172,4,0,20,1,1
136,136,3,2,9,859,3,3,9,1,1
137,137,0,3,6,64,1,3,48,3,0
138,138,0,1,6,510,4,3,17,1,1
139,139,2,3,6,342,2,0,26,3,1
140,140,2,3,4,50,3,2,9,2,1
141,141,0,3,6,726,2,0,12,0,1
